2020-04-29 17:04:707 INFO  BrowserSelector :21 - Launching chrome browser
2020-04-29 17:04:842 INFO  HomePage :34 - Clicking on Books Button [[ChromeDriver: chrome on WINDOWS (68598c266c5d1af53b4ac95764b4d2d0)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Books')]]
2020-04-29 17:04:890 INFO  BooksPage :60 - Getting Books Text [[ChromeDriver: chrome on WINDOWS (68598c266c5d1af53b4ac95764b4d2d0)] -> xpath: //h1[contains(text(),'Books')]]
2020-04-29 17:04:214 INFO  BrowserSelector :21 - Launching chrome browser
2020-04-29 17:04:977 INFO  HomePage :34 - Clicking on Books Button [[ChromeDriver: chrome on WINDOWS (dbc51588fdc7e8e8fbf6017ba4662a27)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Books')]]
2020-04-29 17:04:18 INFO  BooksPage :54 - Clicking on Position Button [[ChromeDriver: chrome on WINDOWS (dbc51588fdc7e8e8fbf6017ba4662a27)] -> xpath: //select[@id='products-orderby']]
2020-04-29 17:04:368 INFO  BooksPage :39 - Selecting From A to Z List [[ChromeDriver: chrome on WINDOWS (dbc51588fdc7e8e8fbf6017ba4662a27)] -> xpath: //option[contains(text(),'Name: A to Z')]]
2020-04-29 17:04:708 INFO  BrowserSelector :21 - Launching chrome browser
2020-04-29 17:04:943 INFO  HomePage :34 - Clicking on Books Button [[ChromeDriver: chrome on WINDOWS (8340d3c305a6273b5833288f9edd784c)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Books')]]
2020-04-29 17:04:83 INFO  BooksPage :54 - Clicking on Position Button [[ChromeDriver: chrome on WINDOWS (8340d3c305a6273b5833288f9edd784c)] -> xpath: //select[@id='products-orderby']]
2020-04-29 17:04:506 INFO  BooksPage :33 - Clicking On Low To High Price [[ChromeDriver: chrome on WINDOWS (8340d3c305a6273b5833288f9edd784c)] -> xpath: //option[contains(text(),'Price: Low to High')]]
2020-04-29 17:04:790 INFO  BrowserSelector :21 - Launching chrome browser
